PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,BAU,HON,PPHDAM,,,,2018,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2019,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2020,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2021,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2022,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2023,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2024,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2025,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2026,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2027,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2028,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2029,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2030,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2031,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2032,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2033,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2034,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2035,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2036,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2037,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2038,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2039,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2040,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2041,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2042,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2043,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2044,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2045,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2046,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2047,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2048,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2049,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHDAM,,,,2050,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2018,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2019,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2020,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2021,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2022,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2023,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2024,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2025,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2026,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2027,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2028,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2029,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2030,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2031,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2032,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2033,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2034,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2035,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2036,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2037,,,,,,1.0
AvailabilityFactor,BAU,HON,PPHROR,,,,2038,,,,,,1.0
